"Host","term","HR","SE","statistic","p","HR_low","HR_high"
"Wild birds","mig_sc",1.0967638363319,0.00969750783560219,7.41086718559803,1.25476198449085e-13,1.0702970785564,1.12388507526145
"Wild birds","water_sc",1.02068198209276,0.0196805502574029,0.762938188555563,0.445500259889592,0.968391946071338,1.07579551109987
"Wild birds","poul_sc",0.978970258056873,0.0209699823774483,-0.632769010085462,0.526884496806581,0.916597296142656,1.04558759903955
"Wild birds","season2spring",0.876629857221317,0.0402156718645854,-3.41505006575107,0.000637702889519389,0.812825633372791,0.945442509463052
"Wild birds","year_c",1.28904140624015,0.00723374197802224,40.4341808739661,0,1.27327410745357,1.30500395576619
"Poultry","mig_sc",1.11641549266086,0.0146724457235162,5.4146984957541,6.13920647752075e-08,1.07278892358589,1.16181620153855
"Poultry","water_sc",1.07471432990353,0.0299969614120132,1.83974642399765,0.0658054744164517,0.995302666795823,1.1604619674318
"Poultry","poul_sc",0.856698380934058,0.0399204192331967,-2.11667514453105,0.0342874277246665,0.742384804843659,0.988614140680852
"Poultry","season2spring",0.804589690930627,0.0640478200776924,-3.24315528422965,0.00118213763121606,0.705520220903614,0.917570540958717
"Poultry","year_c",1.22888882667082,0.0106960349361152,20.7552313112967,1.09951888888718e-95,1.20520164651325,1.25304155755631
